,tech,related,strategy
,Graph DBs,IBM,Hold
,Graph DBs,Oracle,Try
,Graph DBs,Stardog,Hold
,Graph DBs,InfiniteGraph,Try
,Graph DBs,Objectivity,Hold
,Graph DBs,TigerGraph,Hold
,Graph DBs,TerminusDB,Try
,MPP DBs,IBM Data Warehouse Systems,Hold
,MPP DBs,Actian,Try
,MPP DBs,Kognito,Hold
,MPP DBs,Exasol,Hold
,ETL / ELT / Data transformation,DBT,Try
,ETL / ELT / Data transformation,Fivetran,Hold
,ETL / ELT / Data transformation,Pentaho,Try
,ETL / ELT / Data transformation,Amazon Athena,Hold
,ETL / ELT / Data transformation,StreamSets,Hold
,ETL / ELT / Data transformation,Meltano,Try
,ETL / ELT / Data transformation,Talend,Hold
,ETL / ELT / Data transformation,Stich,Try
,ETL / ELT / Data transformation,Trifacta,Hold
,ETL / ELT / Data transformation,Azure Data Factory,Hold
,ETL / ELT / Data transformation,Narrator,Hold
,ETL / ELT / Data transformation,Alteryx,Try
,ETL / ELT / Data transformation,Matillion,Hold
,ETL / ELT / Data transformation,Amazon Glue,Hold
,ETL / ELT / Data transformation,Paxata,Try
,ETL / ELT / Data transformation,Tamr,Hold
,ETL / ELT / Data transformation,Airbyte,Try
,ETL / ELT / Data transformation,Rivery,Hold
,Reverse ETL,Census,Hold
,Reverse ETL,Hightouch,Try
,Reverse ETL,Grouparoo,Hold
,Reverse ETL,RudderStack,Try
,Reverse ETL,Flywheel Software,Hold
,Reverse ETL,Polytomic,Hold
,Data Integration,SAP Data Services,Try
,Data Integration,MuleSoft,Hold
,Data Integration,Qlik Data Catalyst,Try
,Data Integration,Attunity,Hold
,Data Integration,Infoworks,Hold
,Data Integration,Twilo Segment,Try
,Data Integration,Tealim,Hold
,Data Integration,Tray.io,Try
,Data Integration,Zaloni,Hold
,Data Integration,Snowplow,Hold
,Data Integration,Infomatica,Try
,Data Integration,SnapLogic,Hold
,Data Integration,Xplenty,Try
,Data Integration,Import.io,Hold
,Data Integration,Flatline,Hold
,Data Governace & Access,Infromatica,Try
,Data Governace & Access,IBM,Hold
,Data Governace & Access,Collibra,Try
,Data Governace & Access,Dremio,Hold
,Data Governace & Access,Okera,Hold
,Data Governace & Access,Data.world,Try
,Data Governace & Access,ALTR,Hold
,Data Governace & Access,SailPoint,Try
,Data Governace & Access,Alation,Hold
,Data Governace & Access,McAfee Skyhigh Security Cloud,Hold
,Data Governace & Access,Immuta,Try
,Data Governace & Access,Waterline Data,Hold
,Data Governace & Access,Atlan,Try
,Data Governace & Access,Observe point,Hold
,Privacy & Security,Very Good Security,Hold
,Privacy & Security,Privacera,Try
,Privacy & Security,Cyral,Hold
,Privacy & Security,Cape Privacy,Try
,Privacy & Security,In Country,Hold
,Privacy & Security,Trancend,Hold
,Privacy & Security,Skyflow,Try
,Privacy & Security,Duality,Hold
,Privacy & Security,Privacy Dynamics,Try
,Privacy & Security,Ketch,Hold
,Data Observability,Datakin,Hold
,Data Observability,Monte Carlo,Try
,Data Observability,Manta,Hold
,Data Observability,Collibra,Try
,Data Observability,Datafold,Hold
,Data Observability,Databand,Hold
,Data Observability,Acceldata,Try
,Data Observability,Metaplane,Hold
,Data Quality,Talend,Try
,Data Quality,Soda,Hold
,Data Quality,Bigeye,Hold
,Data Quality,SuperConductive,Try
,Data Quality,Collibra,Hold
,Data Quality,Anomalo,Try
,Data Quality,Precisely,Hold
,Data Quality,Lightup,Hold
,Data Quality,Validio,Try
,Management / Monitoring,Amazon Cloudwatch,Hold
,Management / Monitoring,New Relic,Try
,Management / Monitoring,Datadog,Hold
,Management / Monitoring,Splunk,Hold
,Management / Monitoring,Appdynamics,Try
,Management / Monitoring,Rubrick,Hold
,Management / Monitoring,Dynatrace,Try
,Management / Monitoring,Solarwinds,Hold
,Management / Monitoring,Wavefront by VMWare,Hold
,Management / Monitoring,Actifio,Try
,Management / Monitoring,Cribl,Hold
,Management / Monitoring,Moogsoft,Try
,Management / Monitoring,Chronosphere,Hold
,Management / Monitoring,Unravel,Hold
,Management / Monitoring,Pagerduty,Try
,Management / Monitoring,Scalar,Hold
,Management / Monitoring,Zenoss,Try
,Management / Monitoring,ScienceLogic,Hold
,Management / Monitoring,Magnitude,Hold
,Management / Monitoring,Veeam,Try
,Management / Monitoring,Grafana Labs,Hold
,Management / Monitoring,OpsRamp,Try
,Management / Monitoring,Progress Chef,Hold
,Management / Monitoring,Honeycomb.io,Hold
,Serverless,Microsoft Azure,Try
,Serverless,AWS Lambda,Hold
,Serverless,Google Cloud Functions,Try
,Serverless,Nuclio,Hold
,Serverless,Pivital Function Service,Hold
,Cluster Services,Amazon ECS,Try
,Cluster Services,IBM Power Systems,Hold
,Cluster Services,Amazon EKS,Try
,Cluster Services,HPCC Systems,Hold
,Cluster Services,PepperData,Hold
,Cluster Services,Microsoft Cluster Server,Try
,Cluster Services,D2IQ,Hold
,Cluster Services,Coiled,Try
,Cluster Services,Anyscale,Hold
,Cluster Services,Packet,Hold
,Cluster Services,CycleCloud,Try
,Cluster Services,Penguin Computing,Hold
,Cluster Services,Hewlett Packard Enterprise,Try
,Data Marketplaces & Discovery,AWS Data Exchange,Hold
,Data Marketplaces & Discovery,Snowflake Data Exchange,Hold
,Data Marketplaces & Discovery,Dawex,Try
,Data Marketplaces & Discovery,Explorium,Hold
,Data Marketplaces & Discovery,Data.world,Try
,Data Marketplaces & Discovery,Narrative ,Hold
,Data Marketplaces & Discovery,Google Dataset Search,Hold
,Financial & Economic Data,Bloomberg,Try
,Financial & Economic Data,Thomson Reuters,Hold
,Financial & Economic Data,Dow Jones,Try
,Financial & Economic Data,Quandl,Hold
,Financial & Economic Data,S&P Capital IQ,Hold
,Financial & Economic Data,Dow Jones,Try
,Financial & Economic Data,Quandl ,Hold
,Financial & Economic Data,Xignite,Try
,Financial & Economic Data,Thinknum,Hold
,Financial & Economic Data,Earnest Research,Hold
,Financial & Economic Data,CB Insights,Try
,Financial & Economic Data,Second Measure,Hold
,Financial & Economic Data,Envestnet Yodlee,Try
,Financial & Economic Data,The World Bank,Hold
,Financial & Economic Data,System,Hold
,Financial & Economic Data,StockTwits,Try
,Financial & Economic Data,True Layer,Hold
,Financial & Economic Data,Chainalysis,Try
,Financial & Economic Data,Kaiko,Hold
,Financial & Economic Data,Coin Metrics,Hold
,Financial & Economic Data,Pre data,Try
,Financial & Economic Data,MX,Hold
,Financial & Economic Data,Tink,Try
,Financial & Economic Data,SmartNews,Hold
,Air / Space / Sea,Orbital Insight,Hold
,Air / Space / Sea,Airobotics,Try
,Air / Space / Sea,Spire,Hold
,Air / Space / Sea,Descartes Labs,Try
,Air / Space / Sea,Windward,Hold
,Air / Space / Sea,MarineTraffic,Hold
,Air / Space / Sea,Loft Orbital,Try
,Air / Space / Sea,RS Metrics,Hold
,Air / Space / Sea,ExoLabs,Try
,Air / Space / Sea,Qianxun SI,Hold
,Air / Space / Sea,Synspective,Hold
,People / Entities,Zoominfo,Try
,People / Entities,Acxiom,Hold
,People / Entities,Experiam,Try
,People / Entities,Epsilon,Hold
,People / Entities,InsideView,Hold
,People / Entities,Brandwatch,Try
,People / Entities,Quantcast,Hold
,People / Entities,Basis Technology,Try
,People / Entities,Brandwatch,Hold
,People / Entities,Safe Graph,Hold
,People / Entities,Demyst,Try
,People / Entities,Melissa,Hold
,People / Entities,Zignal Labs,Try
,Location Intelligence,Foursquare,Hold
,Location Intelligence,Mapbox,Hold
,Location Intelligence,Sense 360,Try
,Location Intelligence,Pitney Bowes,Hold
,Location Intelligence,PlaceIQ,Try
,Location Intelligence,Esri,Hold
,Location Intelligence,Cart,Hold
,Location Intelligence,Radar,Try
,Location Intelligence,Mapillary,Hold
,Location Intelligence,Cuebiq,Try
,Location Intelligence,OpenStreetMap,Hold
,Other,Data.gov,Hold
,Other,Defence Innovation Unit,Try
,Other,Imagenet,Hold
,Other,Labelme,Try
,Other,Berkeley DeepDrive,Hold
,Other,COCO Common Objects in Context,Hold
,Other,ApolloScape,Try
,Other,Crux,Hold
,Other,Veritone,Try
,Other,Comscore,Hold
,Data Services,Quantum Black,Hold
,Data Services,Mu Sigma,Try
,Data Services,Booz Allen Hamilton,Hold
,Data Services,Kaggle,Try
,Data Services,EletrifAi,Hold
,Data Services,Fractal,Hold
,Data Services,EXL Analytics,Try
,Data Services,DataKind,Hold
,Data Services,Innoplexus,Try
,Incubators & Schools,Pluralsight,Hold
,Incubators & Schools,General Assembly,Hold
,Incubators & Schools,DataCamp,Try
,Incubators & Schools,DataElite,Hold
,Incubators & Schools,Galvanize,Try
,Incubators & Schools,Metis,Hold
,Incubators & Schools,Insight,Hold
,Incubators & Schools,The Data Incubator,Try
,Research,OpenAI,Hold
,Research,Google Research,Try
,Research,Facebook research,Hold
,Research,Mila,Hold
,Research,Miri,Try
,Research,Vector Institute,Hold
,Research,CSAIL,Try
,Research,DFKI,Hold
,Research,Ofai,Hold
,Research,Allen Institute for AI,Try
,Research,Anthropic,Hold
,Research,Salk,Try
,Research,EIL,Hold
,Data Science Notebooks,Jupyterhub,Hold
,Data Science Notebooks,Binder,Try
,Data Science Notebooks,Colab,Hold
,Data Science Notebooks,SaturnCloud,Try
,Data Science Notebooks,Google Cloud Datalab,Hold
,Data Science Notebooks,Amazon SageMaker,Hold
,Data Science Notebooks,Azure Notebooks,Try
,Data Science Notebooks,Deepnote,Hold
,Data Science Notebooks,Nextjournal,Try
,Data Science Notebooks,Count,Hold
,Data Science Notebooks,CocaLC,Hold
,Data Science Notebooks,Curvenote,Try
,Data Science Notebooks,Hex,Hold
,Data Science Notebooks,Noteable,Try
,Data Science Platforms,IBM Watson Studio,Hold
,Data Science Platforms,Oracle Data Science Platform,Hold
,Data Science Platforms,Rapidminer,Try
,Data Science Platforms,Palantir,Hold
,Data Science Platforms,Sas,Try
,Data Science Platforms,TIBC,Hold
,Data Science Platforms,Anaconda,Hold
,Data Science Platforms,Altair Knowledge Works,Try
,Data Science Platforms,Knime,Hold
,Data Science Platforms,MathWorks,Try
,ML Platforms,Databricks,Hold
,ML Platforms,DataRobot,Hold
,ML Platforms,Data Iku,Try
,ML Platforms,Domino,Hold
,ML Platforms,H20 AI,Try
,ML Platforms,Amazon SageMaker,Hold
,ML Platforms,Azure Machine Learning,Hold
,ML Platforms,Abacus.ai,Try
,ML Platforms,Zilliz,Hold
,ML Platforms,Snorkel,Try
,ML Platforms,Pachyderm,Hold
,ML Platforms,OctoML,Hold
,ML Platforms,Iguazio,Try
,ML Platforms,Stradigi AI,Hold
,ML Platforms,Dot Data,Try
,ML Platforms,Datmo,Hold
,ML Platforms,Spell,Hold
,ML Platforms,Saagie,Try
,ML Platforms,Obviously.ai,Hold
,Data Generation & Labelling,Amazon Mechanical Turk,Try
,Data Generation & Labelling,Hive,Hold
,Data Generation & Labelling,Scale,Hold
,Data Generation & Labelling,UpWork,Try
,Data Generation & Labelling,Appen,Hold
,Data Generation & Labelling,Unity,Try
,Data Generation & Labelling,Lionbridge,Hold
,Data Generation & Labelling,Labelbox,Hold
,Data Generation & Labelling,Ai.Reverie,Try
,Data Generation & Labelling,Cloud Factory,Hold
,Data Generation & Labelling,Super.ai,Try
,Data Generation & Labelling,Superb AI,Hold
,Data Generation & Labelling,SuperAnnotate,Hold
,Data Generation & Labelling,Kili Technology,Try
,Model Building,Weights & Biases,Hold
,Model Building,Run : AI,Try
,Model Building,Comet,Hold
,Model Building,Grid.ai,Hold
,Model Building,Fiddler,Try
,Model Building,Determined AI,Hold
,Model Building,Elementl,Try
,Model Building,Aim,Hold
,Model Building,Aporia,Hold
,Model Building,Kaskada,Try
,Model Building,Aquarium,Hold
,Model Building,SigOpt,Try
,Feature Store,Tecton,Hold
,Feature Store,Hopsworks,Hold
,Feature Store,Google Cloud,Try
,Feature Store,Rasgo,Hold
,Feature Store,StreamSQL,Try
,Feature Store,Feast,Hold
,Feature Store,Bytehub AI,Hold
,Feature Store,Fal.ai,Try
,Deployment & Production,Amazon SageMaker,Hold
,Deployment & Production,Databricks,Try
,Deployment & Production,Verta,Hold
,Deployment & Production,Datatron,Hold
,Deployment & Production,Cortex,Try
,Deployment & Production,Seldon,Hold
,Deployment & Production,Cnvrg.io,Try
,Deployment & Production,Bento ML,Hold
,Model Monitoring & Observability,Arthur,Hold
,Model Monitoring & Observability,Evidently AI,Try
,Model Monitoring & Observability,Truera,Hold
,Model Monitoring & Observability,Arize,Try
,Model Monitoring & Observability,Whylabs,Hold
,Frameworks,Hadoop HDFS,Hold
,Frameworks,Spark,Try
,Frameworks,Hadoop Map Reduce,Hold
,Frameworks,Slider,Try
,Frameworks,Flink,Hold
,Frameworks,Yarn,Hold
,Frameworks,Tez,Try
,Frameworks,Kuberenetes,Hold
,Frameworks,Apache Kylin,Try
,Frameworks,Mesos,Hold
,Frameworks,Dockers,Hold
,Frameworks,CDAP,Try
,Frameworks,Red Hat,Hold
,Frameworks,High Availability,Try
,Frameworks,Helix,Hold
,Format,Iceberg,Hold
,Format,Parquet,Try
,Format,Apache Hudi,Hold
,Format,Apache Orc,Try
,Format,Apache Arrow,Hold
,Format,Delta Lake,Hold
,Query / Data Flow,Spark SQL,Try
,Query / Data Flow,Apache Pig,Hold
,Query / Data Flow,Apache Hive,Try
,Query / Data Flow,Presto,Hold
,Query / Data Flow,Apache Drill,Hold
,Query / Data Flow,Slam Data,Try
,Query / Data Flow,Graph QL,Hold
,Query / Data Flow,Trino,Try
,Query / Data Flow,Google Cloud Dataflow,Hold
,Query / Data Flow,HAWQ,Hold
,Query / Data Flow,Apache Trafodion,Try
,Data Access,Uber Databook,Hold
,Data Access,Amundsen,Try
,Data Access,Magda,Hold
,Data Access,ckan,Hold
,Databases,PostgresSQL,Try
,Databases,MySQL,Hold
,Databases,mongoDB,Try
,Databases,redis,Hold
,Databases,Cockroach Labs,Hold
,Databases,Maria DB,Try
,Databases,Influx DB,Hold
,Databases,Presto,Try
,Databases,Apache Druid,Hold
,Databases,Cassandra,Hold
,Databases,Dataportal,Try
,Databases,SciDB,Hold
,Databases,Data Hub,Try
,Databases,Flume,Hold
,Databases,Google Cloud Spanner,Hold
,Databases,Couch DB,Try
,Databases,Riak,Hold
,Databases,Open TSDB,Try
,Databases,Accumulo,Hold
,Databases,ClickHouse,Hold
,Databases,Pinot,Try
,Databases,Edge DB,Hold
,Databases,Ksql DB,Try
,Databases,Apache HBase,Hold
,Orchestration,Apache Airflow,Hold
,Orchestration,Prefect,Try
,Orchestration,Dagster,Hold
,Orchestration,Flyte,Try
,Orchestration,Metaflow,Hold
,Orchestration,Kedro,Hold
,Orchestration,Luigi,Try
,Infrastructure,Apache Zookeeper,Hold
,Infrastructure,Apache Ambari,Try
,Infrastructure,Apache Mesos,Hold
,Infrastructure,Argo,Hold
,Data OPS,Marquez,Try
,Data OPS,Great Expectations,Hold
,Data OPS,Open Lineage,Try
,Data OPS,Lake FS,Hold
,Data OPS,Project Nessie,Hold
,Streaming & Messaging,Spark Streaming,Try
,Streaming & Messaging,Apache Kafka,Hold
,Streaming & Messaging,Beam,Try
,Streaming & Messaging,Pulsar,Hold
,Streaming & Messaging,Flink,Hold
,Streaming & Messaging,Storm,Try
,Streaming & Messaging,Apex,Hold
,Streaming & Messaging,Nifi,Try
,Streaming & Messaging,Apache RocketMQ,Hold
,Streaming & Messaging,Samza,Hold
,Stat Tools & Languages,Python,Try
,Stat Tools & Languages,R,Hold
,Stat Tools & Languages,Scala,Try
,Stat Tools & Languages,NumPy,Hold
,Stat Tools & Languages,Pandas,Hold
,Stat Tools & Languages,SciPy,Try
,Stat Tools & Languages,R Studio,Hold
,Stat Tools & Languages,Pyro,Try
,Stat Tools & Languages,Julia,Hold
,Stat Tools & Languages,Data Table,Hold
,Stat Tools & Languages,Tidyverse,Try
,ML OPS & Infra,Pachyderm,Hold
,ML OPS & Infra,ML Flow,Try
,ML OPS & Infra,Kubeflow,Hold
,ML OPS & Infra,Mleap,Hold
,ML OPS & Infra,DVC,Try
,ML OPS & Infra,Seldon,Hold
,ML OPS & Infra,Snorkel,Try
,ML OPS & Infra,Polyaxon,Hold
,ML OPS & Infra,Bento ML,Hold
,ML OPS & Infra,Media Pipe,Try
,AI / Machine Learning / Deep Learning,TensorFlow,Hold
,AI / Machine Learning / Deep Learning,Torch,Try
,AI / Machine Learning / Deep Learning,Transformers,Hold
,AI / Machine Learning / Deep Learning,OpenCV,Hold
,AI / Machine Learning / Deep Learning,MADlib,Try
,AI / Machine Learning / Deep Learning,Scikit Learn,Hold
,AI / Machine Learning / Deep Learning,Keras,Try
,AI / Machine Learning / Deep Learning,Bert,Hold
,AI / Machine Learning / Deep Learning,Dmlc XDBoost,Hold
,AI / Machine Learning / Deep Learning,Caffe,Try
,AI / Machine Learning / Deep Learning,Microsoft Cognitive Toolkit,Hold
,AI / Machine Learning / Deep Learning,DMTK,Try
,AI / Machine Learning / Deep Learning,OpenAI,Hold
,AI / Machine Learning / Deep Learning,PyTorch Lightning,Hold
,AI / Machine Learning / Deep Learning,Theano,Try
,AI / Machine Learning / Deep Learning,PaddlePaddle,Hold
,AI / Machine Learning / Deep Learning,Apache Singa,Try
,AI / Machine Learning / Deep Learning,Dimsum,Hold
,AI / Machine Learning / Deep Learning,FeatureFu,Hold
,AI / Machine Learning / Deep Learning,Veles,Try
,AI / Machine Learning / Deep Learning,Mxnet,Hold
,AI / Machine Learning / Deep Learning,Neon,Try
,AI / Machine Learning / Deep Learning,Chainer,Hold
,AI / Machine Learning / Deep Learning,Michelangelo,Hold
,AI / Machine Learning / Deep Learning,ONNX,Try
,AI / Machine Learning / Deep Learning,Weka,Hold
,AI / Machine Learning / Deep Learning,Ludwig,Try
,AI / Machine Learning / Deep Learning,Horovod,Hold
,AI / Machine Learning / Deep Learning,CoreNLP,Hold
,AI / Machine Learning / Deep Learning,DSSTNE,Try
,AI / Machine Learning / Deep Learning,Mllib,Hold
,AI / Machine Learning / Deep Learning,DL4J,Try
,AI / Machine Learning / Deep Learning,Mahout,Hold
,AI / Machine Learning / Deep Learning,Aerosolve,Hold
,AI / Machine Learning / Deep Learning,Fast.ai,Try
,AI / Machine Learning / Deep Learning,Mlr,Hold
,AI / Machine Learning / Deep Learning,OpenML,Try
,AI / Machine Learning / Deep Learning,Mindsdb,Hold
,AI / Machine Learning / Deep Learning,SpaCy,Hold
,AI / Machine Learning / Deep Learning,Kubeflow,Try
,AI / Machine Learning / Deep Learning,AllenNLP,Hold
,AI / Machine Learning / Deep Learning,TinyML,Try
,AI / Machine Learning / Deep Learning,CatBoost,Hold
,Search,ElasticSearch,Hold
,Search,Solr,Try
,Search,Apache Lucene,Hold
,Search,Sphinx,Try
,Search,MeiliSearch,Hold
,Search,Sonic,Hold
,Search,Toshi Search,Try
,Search,Tantivy,Hold
,Logging & Monitoring,ElasticSearch,Try
,Logging & Monitoring,Kibana,Hold
,Logging & Monitoring,Sentry,Hold
,Logging & Monitoring,Logstach,Try
,Logging & Monitoring,Prometheus,Hold
,Logging & Monitoring,Fluent Bit,Try
,Logging & Monitoring,Fluent TD,Hold
,Logging & Monitoring,Grafana,Hold
,Logging & Monitoring,Vector,Try
,Logging & Monitoring,Open Telemetry,Hold
,Visualization,D3,Try
,Visualization,Superset,Hold
,Visualization,Matplotlib,Hold
,Visualization,Metabase,Try
,Visualization,Redash,Hold
,Visualization,TensorBoard,Try
,Visualization,Seaborn,Hold
,Visualization,Bokeh,Hold
,Visualization,Ggplot2,Try
,Collaboration,Beake,Hold
,Collaboration,Jupyter,Try
,Collaboration,Zeppelin,Hold
,Collaboration,Anaconda,Hold
,Security,Apache Ranger,Try
,Security,Knox,Hold
,Security,Sentry,Try
,Security,Accumulo,Hold
,Security,Snyk,Hold
,MPP DBs,Teradata,Try
,MPP DBs,Vertica,Hold
,Computer Vision,Microsoft Azure,Try
,Computer Vision,Cloud Vision Api,Hold
,Computer Vision,Amazon Rekognition,Hold
,Computer Vision,SenseTime,Try
,Computer Vision,Face++,Hold
,Computer Vision,Clarifai,Try
,Computer Vision,Ever AI,Hold
,Computer Vision,Deepomatic,Hold
,Computer Vision,Neurala,Try
,Computer Vision,YITU,Hold
,Computer Vision,Trax,Try
,Computer Vision,Cloudwalk,Hold
,Computer Vision,DataGrid,Hold
,Computer Vision,Onfido,Try
,Computer Vision,MegVII,Hold
,Computer Vision,Clearview.ai,Try
,Computer Vision,Aibee,Hold
,Computer Vision,Prophesaa,Hold
,Speech,Siri,Try
,Speech,Amazon Alexa,Hold
,Speech,Amazon Polly,Try
,Speech,Amazon Trascribe,Hold
,Speech,Cortana,Hold
,Speech,Azure Cognitive Service,Try
,Speech,Nuance,Hold
,Speech,SoundHound Inc,Try
,Speech,Cogito,Hold
,Speech,Otter,Hold
,Speech,DeepGram,Try
,Speech,PolyAI,Hold
,Speech,GridSpace,Try
,Speech,MindMeld,Hold
,NLP,Google Natural Language API,Hold
,NLP,Amazon Translate,Try
,NLP,Amazon Comprehend,Hold
,NLP,WolframAlpha,Try
,NLP,Hugging Face,Hold
,NLP,Primer,Hold
,NLP,Mobvoi,Try
,NLP,RASA,Hold
,NLP,Smartling,Try
,NLP,Semantic Machines,Hold
,NLP,Unbael,Hold
,NLP,Amenity Analytics,Try
,NLP,MonkeyLearn,Hold
,NLP,Cortical.io,Try
,Synthetic Media,DeepBrain AI,Hold
,Synthetic Media,Soul Machines,Hold
,Synthetic Media,AI Foundation,Try
,Synthetic Media,D-ID,Hold
,Synthetic Media,Synthesia,Try
,Synthetic Media,Dsecript,Hold
,Synthetic Media,Reface,Hold
,Synthetic Media,Modulate,Try
,Synthetic Media,Neosapience,Hold
,Synthetic Media,Supertone,Try
,Synthetic Media,EmbodyMe,Hold
,Synthetic Media,Repharase.ai,Hold
,Synthetic Media,Vocalid,Try
,Horizantal AI,IBM Watson,Hold
,Horizantal AI,OpenAI,Try
,Horizantal AI,DeepMind,Hold
,Horizantal AI,Voyager Labs,Hold
,Horizantal AI,Cognitive Scale,Try
,Horizantal AI,Vicarious,Hold
,Horizantal AI,Numenta,Try
,Horizantal AI,Scaled Inferance,Hold
,Horizantal AI,Naralogics,Hold
,Horizantal AI,Petuum,Try
,Horizantal AI,The Curious Company,Hold
,Horizantal AI,Blue Vison,Try
,Horizantal AI,Osaro,Hold
,Horizantal AI,Affectiva,Hold
,Horizantal AI,4Paradigm,Try
,Horizantal AI,DT Dream,Hold
,Horizantal AI,Peltarion,Try
,Horizantal AI,Neural Magic,Hold
,GPU DBS & Cloud,Kinetica,Hold
,GPU DBS & Cloud,Paperspace,Try
,GPU DBS & Cloud,Sqream,Hold
,GPU DBS & Cloud,Omni Sci,Try
,GPU DBS & Cloud,Fauna,Hold
,GPU DBS & Cloud,Brytlyt,Hold
,GPU DBS & Cloud,PG-Storm,Try
,GPU DBS & Cloud,Blazegraph,Hold
,GPU DBS & Cloud,BlazingDB,Try
,GPU DBS & Cloud,FloydHub,Hold
,AI Hardware,Google TPM,Hold
,AI Hardware,Arm,Try
,AI Hardware,Intel AI,Hold
